PDB_Number,Description,PDBFileLink,PaperDate,PageLink,FastaLink,Authors,Method,Resolution,OriginalIndex,noNucleotideEntities,hasMRNA,containsS12
5LMT,Structure of bacterial 30S-IF1-IF3-mRNA-tRNA translation pre-initiation complex(state-3),http://files.rcsb.org/download/5LMT.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMT,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMT&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,4.15,58,FALSE,TRUE,TRUE
5LMU,"Structure of bacterial 30S-IF3-mRNA-tRNA translation pre-initiation complex, closed form (state-4)",http://files.rcsb.org/download/5LMU.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMU,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMU&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,4,59,FALSE,TRUE,TRUE
5LMV,Structure of bacterial 30S-IF1-IF2-IF3-mRNA-tRNA translation pre-initiation complex(state-III),http://files.rcsb.org/download/5LMV.cif.gz,(2016) Cell 167 133-144.e13,http://www.rcsb.org/structure/5LMV,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5LMV&compressionType=uncompressed,"Hussain, T., Llacer, J.L., Wimberly, B.T., Ramakrishnan, V.",ELECTRON MICROSCOPY,4.9,60,FALSE,TRUE,TRUE
5KPS,Structure of RelA bound to ribosome in absence of A/R tRNA (Structure I),http://files.rcsb.org/download/5KPS.cif.gz,(2016) Elife 5 ,http://www.rcsb.org/structure/5KPS,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5KPS&compressionType=uncompressed,"Loveland, A.B., Bah, E., Madireddy, R., Zhang, Y., Brilot, A.F., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,3.9,61,FALSE,TRUE,TRUE
5KPV,Structure of RelA bound to ribosome in presence of A/R tRNA (Structure II),http://files.rcsb.org/download/5KPV.cif.gz,(2016) Elife 5 ,http://www.rcsb.org/structure/5KPV,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5KPV&compressionType=uncompressed,"Loveland, A.B., Bah, E., Madireddy, R., Zhang, Y., Brilot, A.F., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,4.1,62,FALSE,TRUE,TRUE
5KPW,Structure of RelA bound to ribosome in presence of A/R tRNA (Structure III),http://files.rcsb.org/download/5KPW.cif.gz,(2016) Elife 5 ,http://www.rcsb.org/structure/5KPW,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5KPW&compressionType=uncompressed,"Loveland, A.B., Bah, E., Madireddy, R., Zhang, Y., Brilot, A.F., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,3.9,63,FALSE,TRUE,TRUE
5KPX,Structure of RelA bound to ribosome in presence of A/R tRNA (Structure IV),http://files.rcsb.org/download/5KPX.cif.gz,(2016) Elife 5 ,http://www.rcsb.org/structure/5KPX,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5KPX&compressionType=uncompressed,"Loveland, A.B., Bah, E., Madireddy, R., Zhang, Y., Brilot, A.F., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,3.9,64,FALSE,TRUE,TRUE
5KCR,"Cryo-EM structure of the Escherichia coli 70S ribosome in complex with antibiotic Avilamycin C, mRNA and P-site tRNA at 3.6A resolution",http://files.rcsb.org/download/5KCR.cif.gz,(2016) Proc Natl Acad Sci U S A 113 7527-7532,http://www.rcsb.org/structure/5KCR,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5KCR&compressionType=uncompressed,"Arenz, S., Juette, M.F., Graf, M., Nguyen, F., Huter, P., Polikanov, Y.S., Blanchard, S.C., Wilson, D.N.",ELECTRON MICROSCOPY,3.6,65,FALSE,TRUE,TRUE
5KCS,"Cryo-EM structure of the Escherichia coli 70S ribosome in complex with antibiotic Evernimycin, mRNA, TetM and P-site tRNA at 3.9A resolution",http://files.rcsb.org/download/5KCS.cif.gz,(2016) Proc Natl Acad Sci U S A 113 7527-7532,http://www.rcsb.org/structure/5KCS,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5KCS&compressionType=uncompressed,"Arenz, S., Juette, M.F., Graf, M., Nguyen, F., Huter, P., Polikanov, Y.S., Blanchard, S.C., Wilson, D.N.",ELECTRON MICROSCOPY,3.9,66,FALSE,TRUE,TRUE
5JPQ,Cryo-EM structure of the 90S pre-ribosome,http://files.rcsb.org/download/5JPQ.cif.gz,(2016) Cell 166 380-393,http://www.rcsb.org/structure/5JPQ,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5JPQ&compressionType=uncompressed,"Turk, M., Cheng, J., Berninghausen, O., Kornprobst, M., Flemming, D., Kos-Braun, I.C., Kos, M., Thoms, M., Hurt, E., Beckmann, R.",ELECTRON MICROSCOPY,7.3,67,FALSE,FALSE,FALSE
5JTE,"Cryo-EM structure of an ErmBL-stalled ribosome in complex with A-, P-, and E-tRNA",http://files.rcsb.org/download/5JTE.cif.gz,(2016) Nat Commun 7 12026-12026,http://www.rcsb.org/structure/5JTE,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5JTE&compressionType=uncompressed,"Arenz, S., Bock, L.V., Graf, M., Innis, C.A., Beckmann, R., Grubmueller, H., Vaiana, A.C., Wilson, D.N.",ELECTRON MICROSCOPY,3.6,68,FALSE,TRUE,TRUE
5JU8,"Cryo-EM structure of an ErmBL-stalled ribosome in complex with P-, and E-tRNA",http://files.rcsb.org/download/5JU8.cif.gz,(2016) Nat Commun 7 12026-12026,http://www.rcsb.org/structure/5JU8,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5JU8&compressionType=uncompressed,"Arenz, S., Bock, L.V., Graf, M., Innis, C.A., Beckmann, R., Grubmueller, H., Vaiana, A.C., Wilson, D.N.",ELECTRON MICROSCOPY,3.6,69,FALSE,TRUE,TRUE
5L3P,Cryo-EM structure of stringent response factor RelA bound to ErmCL-stalled ribosome complex,http://files.rcsb.org/download/5L3P.cif.gz,(2016) Nucleic Acids Res 44 6471-6481,http://www.rcsb.org/structure/5L3P,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5L3P&compressionType=uncompressed,"Arenz, S., Wilson, D.N.",ELECTRON MICROSCOPY,3.7,70,FALSE,TRUE,TRUE
5IB7,"Structure of T. thermophilus 70S ribosome complex with mRNA, tRNAfMet, near-cognate tRNALys with U-G mismatch in the A-site and antibiotic paromomycin",http://files.rcsb.org/download/5IB7.cif.gz,(2016) Nucleic Acids Res 44 6434-6441,http://www.rcsb.org/structure/5IB7,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5IB7&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,2.99,71,FALSE,TRUE,TRUE
5IB8,"Structure of T. thermophilus 70S ribosome complex with mRNA, tRNAfMet and near-cognate tRNALys with U-G mismatch in the A-site",http://files.rcsb.org/download/5IB8.cif.gz,(2016) Nucleic Acids Res 44 6434-6441,http://www.rcsb.org/structure/5IB8,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5IB8&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.13,72,FALSE,TRUE,TRUE
5IBB,"Structure of T. thermophilus 70S ribosome complex with mRNA, tRNAfMet and cognate tRNAVal in the A-site",http://files.rcsb.org/download/5IBB.cif.gz,(2016) Nucleic Acids Res 44 6434-6441,http://www.rcsb.org/structure/5IBB,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5IBB&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,2.96,73,FALSE,TRUE,TRUE
5J8B,Crystal structure of Elongation Factor 4 (EF-4/LepA) in complex with GDPCP bound to the Thermus thermophilus 70S ribosome,http://files.rcsb.org/download/5J8B.cif.gz,(2016) Proc Natl Acad Sci U S A 113 4994-4999,http://www.rcsb.org/structure/5J8B,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5J8B&compressionType=uncompressed,"Gagnon, M.G., Lin, J., Steitz, T.A.",X-RAY DIFFRACTION,2.6,74,FALSE,TRUE,TRUE
5J4D,E. coli release factor 1 bound to the 70S ribosome in response to a pseudouridylated stop codon,http://files.rcsb.org/download/5J4D.cif.gz,(2016) J Mol Biol 428 2228-2236,http://www.rcsb.org/structure/5J4D,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5J4D&compressionType=uncompressed,"Svidritskiy, E., Korostelev, A.A.",X-RAY DIFFRACTION,3.1,75,FALSE,TRUE,TRUE
5IQR,Structure of RelA bound to the 70S ribosome,http://files.rcsb.org/download/5IQR.cif.gz,(2016) Nature 534 277-280,http://www.rcsb.org/structure/5IQR,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5IQR&compressionType=uncompressed,"Brown, A., Fernandez, I.S., Gordiyenko, Y., Ramakrishnan, V.",ELECTRON MICROSCOPY,3,76,FALSE,TRUE,TRUE
5J4B,"Crystal structure of the Thermus thermophilus 70S ribosome in complex with cisplatin (co-crystallized) and bound to mRNA and A-, P- and E-site tRNAs at 2.6A resolution",http://files.rcsb.org/download/5J4B.cif.gz,(2016) Nucleic Acids Res 44 4978-4987,http://www.rcsb.org/structure/5J4B,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5J4B&compressionType=uncompressed,"Melnikov, S.V., Soll, D., Steitz, T.A., Polikanov, Y.S.",X-RAY DIFFRACTION,2.6,77,FALSE,TRUE,TRUE
5J4C,"Crystal structure of the Thermus thermophilus 70S ribosome in complex with cisplatin (soaked) and bound to mRNA and A-, P- and E-site tRNAs at 2.8A resolution",http://files.rcsb.org/download/5J4C.cif.gz,(2016) Nucleic Acids Res 44 4978-4987,http://www.rcsb.org/structure/5J4C,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5J4C&compressionType=uncompressed,"Melnikov, S.V., Soll, D., Steitz, T.A., Polikanov, Y.S.",X-RAY DIFFRACTION,2.8,78,FALSE,TRUE,TRUE
5HAU,Crystal structure of antimicrobial peptide Bac7(1-19) bound to the Thermus thermophilus 70S ribosome,http://files.rcsb.org/download/5HAU.cif.gz,(2016) Nucleic Acids Res 44 2439-2450,http://www.rcsb.org/structure/5HAU,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5HAU&compressionType=uncompressed,"Gagnon, M.G., Roy, R.N., Lomakin, I.B., Florin, T., Mankin, A.S., Steitz, T.A.",X-RAY DIFFRACTION,3,79,FALSE,TRUE,TRUE
5HCP,Crystal structure of antimicrobial peptide Metalnikowin bound to the Thermus thermophilus 70S ribosome,http://files.rcsb.org/download/5HCP.cif.gz,(2016) Nucleic Acids Res 44 2439-2450,http://www.rcsb.org/structure/5HCP,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5HCP&compressionType=uncompressed,"Gagnon, M.G., Roy, R.N., Lomakin, I.B., Florin, T., Mankin, A.S., Steitz, T.A.",X-RAY DIFFRACTION,2.894,80,FALSE,TRUE,TRUE
5HCQ,Crystal structure of antimicrobial peptide Oncocin d15-19 bound to the Thermus thermophilus 70S ribosome,http://files.rcsb.org/download/5HCQ.cif.gz,(2016) Nucleic Acids Res 44 2439-2450,http://www.rcsb.org/structure/5HCQ,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5HCQ&compressionType=uncompressed,"Gagnon, M.G., Roy, R.N., Lomakin, I.B., Florin, T., Mankin, A.S., Steitz, T.A.",X-RAY DIFFRACTION,2.801,81,FALSE,TRUE,TRUE
5HCR,Crystal structure of antimicrobial peptide Oncocin 10wt bound to the Thermus thermophilus 70S ribosome,http://files.rcsb.org/download/5HCR.cif.gz,(2016) Nucleic Acids Res 44 2439-2450,http://www.rcsb.org/structure/5HCR,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5HCR&compressionType=uncompressed,"Gagnon, M.G., Roy, R.N., Lomakin, I.B., Florin, T., Mankin, A.S., Steitz, T.A.",X-RAY DIFFRACTION,2.8,82,FALSE,TRUE,TRUE
5HD1,Crystal structure of antimicrobial peptide Pyrrhocoricin bound to the Thermus thermophilus 70S ribosome,http://files.rcsb.org/download/5HD1.cif.gz,(2016) Nucleic Acids Res 44 2439-2450,http://www.rcsb.org/structure/5HD1,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5HD1&compressionType=uncompressed,"Gagnon, M.G., Roy, R.N., Lomakin, I.B., Florin, T., Mankin, A.S., Steitz, T.A.",X-RAY DIFFRACTION,2.7,83,FALSE,TRUE,TRUE
5F8K,Crystal structure of the Bac7(1-16) antimicrobial peptide bound to the Thermus thermophilus 70S ribosome,http://files.rcsb.org/download/5F8K.cif.gz,(2016) Nucleic Acids Res 44 2429-2438,http://www.rcsb.org/structure/5F8K,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5F8K&compressionType=uncompressed,"Seefeldt, A.C., Graf, M., Perebaskine, N., Nguyen, F., Arenz, S., Mardirossian, M., Scocchi, M., Wilson, D.N., Innis, C.A.",X-RAY DIFFRACTION,2.8,84,FALSE,TRUE,TRUE
3JBU,Mechanisms of Ribosome Stalling by SecM at Multiple Elongation Steps,http://files.rcsb.org/download/3JBU.cif.gz,(2015) Elife 4 ,http://www.rcsb.org/structure/3JBU,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=3JBU&compressionType=uncompressed,"Zhang, J., Pan, X.J., Yan, K.G., Sun, S., Gao, N., Sui, S.F.",ELECTRON MICROSCOPY,3.64,85,FALSE,TRUE,TRUE
5E7K,Structure of T. thermophilus 70S ribosome complex with mRNA and cognate tRNALys in the A-site,http://files.rcsb.org/download/5E7K.cif.gz,(2016) Nat Commun 7 10457-10457,http://www.rcsb.org/structure/5E7K,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5E7K&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Khusainov, I., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.2,86,FALSE,TRUE,TRUE
5E81,Structure of T. thermophilus 70S ribosome complex with mRNA and tRNALys in the A-site with wobble pair,http://files.rcsb.org/download/5E81.cif.gz,(2016) Nat Commun 7 10457-10457,http://www.rcsb.org/structure/5E81,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5E81&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Khusainov, I., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,2.95,87,FALSE,TRUE,TRUE
5EL4,Structure of T. thermophilus 70S ribosome complex with mRNA and tRNALys in the A-site with a U-U mismatch in the first position,http://files.rcsb.org/download/5EL4.cif.gz,(2016) Nat Commun 7 10457-10457,http://www.rcsb.org/structure/5EL4,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5EL4&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Khusainov, I., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.15,88,FALSE,TRUE,TRUE
5EL5,Structure of T. thermophilus 70S ribosome complex with mRNA and tRNALys in the A-site with a U-U mismatch in the second position,http://files.rcsb.org/download/5EL5.cif.gz,(2016) Nat Commun 7 10457-10457,http://www.rcsb.org/structure/5EL5,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5EL5&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Khusainov, I., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.15,89,FALSE,TRUE,TRUE
5EL6,Structure of T. thermophilus 70S ribosome complex with mRNA and tRNALys in the A-site with a U-U mismatch in the first position and antibiotic paromomycin,http://files.rcsb.org/download/5EL6.cif.gz,(2016) Nat Commun 7 10457-10457,http://www.rcsb.org/structure/5EL6,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5EL6&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Khusainov, I., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.1,90,FALSE,TRUE,TRUE
5EL7,Structure of T. thermophilus 70S ribosome complex with mRNA and tRNALys in the A-site with a U-U mismatch in the second position and antibiotic paromomycin,http://files.rcsb.org/download/5EL7.cif.gz,(2016) Nat Commun 7 10457-10457,http://www.rcsb.org/structure/5EL7,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5EL7&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Khusainov, I., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.15,91,FALSE,TRUE,TRUE
3JCE,Structure of Escherichia coli EF4 in pretranslocational ribosomes (Pre EF4),http://files.rcsb.org/download/3JCE.cif.gz,(2016) Nat Struct Mol Biol 23 125-131,http://www.rcsb.org/structure/3JCE,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=3JCE&compressionType=uncompressed,"Zhang, D., Yan, K., Liu, G., Song, G., Luo, J., Shi, Y., Cheng, E., Wu, S., Jiang, T., Low, J., Gao, N., Qin, Y.",ELECTRON MICROSCOPY,3.2,92,FALSE,TRUE,TRUE
5DOY,"Crystal structure of the Thermus thermophilus 70S ribosome in complex with antibiotic Hygromycin A, mRNA and three tRNAs in the A, P and E sites at 2.6A resolution",http://files.rcsb.org/download/5DOY.cif.gz,(2015) Mol Cell 58 832-844,http://www.rcsb.org/structure/5DOY,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5DOY&compressionType=uncompressed,"Polikanov, Y.S., Starosta, A.L., Juette, M.F., Altman, R.B., Terry, D.S., Lu, W., Burnett, B.J., Dinos, G., Reynolds, K., Blanchard, S.C., Steitz, T.A., Wilson, D.N.",X-RAY DIFFRACTION,2.6,93,FALSE,TRUE,TRUE
5A8L,Human eRF1 and the hCMV nascent peptide in the translation termination complex,http://files.rcsb.org/download/5A8L.cif.gz,(2015) Nucleic Acids Res 43 8615,http://www.rcsb.org/structure/5A8L,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5A8L&compressionType=uncompressed,"Matheisl, S., Berninghausen, O., Becker, T., Beckmann, R.",ELECTRON MICROSCOPY,3.8,94,FALSE,TRUE,FALSE
5D8B,Crystal structure of T. thermophilus ribosome containing a P-site wobble mismatch,http://files.rcsb.org/download/5D8B.cif.gz,(2015) Structure 23 2155-2161,http://www.rcsb.org/structure/5D8B,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5D8B&compressionType=uncompressed,"Svidritskiy, E., Korostelev, A.A.",X-RAY DIFFRACTION,3.63,95,FALSE,TRUE,TRUE
3JAG,"Structure of a mammalian ribosomal termination complex with ABCE1, eRF1(AAQ), and the UAA stop codon",http://files.rcsb.org/download/3JAG.cif.gz,(2015) Nature 524 493-496,http://www.rcsb.org/structure/3JAG,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=3JAG&compressionType=uncompressed,"Brown, A., Shao, S., Murray, J., Hegde, R.S., Ramakrishnan, V.",ELECTRON MICROSCOPY,3.65,96,FALSE,TRUE,TRUE
3JAH,"Structure of a mammalian ribosomal termination complex with ABCE1, eRF1(AAQ), and the UAG stop codon",http://files.rcsb.org/download/3JAH.cif.gz,(2015) Nature 524 493-496,http://www.rcsb.org/structure/3JAH,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=3JAH&compressionType=uncompressed,"Brown, A., Shao, S., Murray, J., Hegde, R.S., Ramakrishnan, V.",ELECTRON MICROSCOPY,3.45,97,FALSE,TRUE,TRUE
3JAI,"Structure of a mammalian ribosomal termination complex with ABCE1, eRF1(AAQ), and the UGA stop codon",http://files.rcsb.org/download/3JAI.cif.gz,(2015) Nature 524 493-496,http://www.rcsb.org/structure/3JAI,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=3JAI&compressionType=uncompressed,"Brown, A., Shao, S., Murray, J., Hegde, R.S., Ramakrishnan, V.",ELECTRON MICROSCOPY,3.65,98,FALSE,TRUE,TRUE
3JAP,Structure of a partial yeast 48S preinitiation complex in closed conformation,http://files.rcsb.org/download/3JAP.cif.gz,(2015) Mol Cell 59 399-412,http://www.rcsb.org/structure/3JAP,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=3JAP&compressionType=uncompressed,"Llacer, J.L., Hussain, T., Ramakrishnan, V.",ELECTRON MICROSCOPY,4.9,99,FALSE,TRUE,TRUE
3JAQ,Structure of a partial yeast 48S preinitiation complex in open conformation,http://files.rcsb.org/download/3JAQ.cif.gz,(2015) Mol Cell 59 399-412,http://www.rcsb.org/structure/3JAQ,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=3JAQ&compressionType=uncompressed,"Llacer, J.L., Hussain, T., Ramakrishnan, V.",ELECTRON MICROSCOPY,6,100,FALSE,TRUE,TRUE
3JA1,Activation of GTP Hydrolysis in mRNA-tRNA Translocation by Elongation Factor G,http://files.rcsb.org/download/3JA1.cif.gz,(2015) Sci Adv 1 e1500169-e1500169,http://www.rcsb.org/structure/3JA1,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=3JA1&compressionType=uncompressed,"Li, W., Liu, Z., Koripella, R.K., Langlois, R., Sanyal, S., Frank, J.",ELECTRON MICROSCOPY,3.6,101,FALSE,TRUE,TRUE
4WQ1,Complex of 70S ribosome with tRNA-Tyr and mRNA with C-A mismatch in the first position in the A-site.,http://files.rcsb.org/download/4WQ1.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WQ1,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WQ1&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.1,102,FALSE,TRUE,TRUE
4WQR,Complex of 70S ribosome with tRNA-Phe and mRNA with C-A mismatch in the first position in the A-site.,http://files.rcsb.org/download/4WQR.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WQR,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WQR&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.15,103,FALSE,TRUE,TRUE
4WR6,Complex of 70S ribosome with tRNA-Tyr and mRNA with A-A mismatch in the first position in the A-site.,http://files.rcsb.org/download/4WR6.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WR6,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WR6&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.05,104,FALSE,TRUE,TRUE
4WRA,Complex of 70S ribosome with tRNA-Tyr and mRNA with A-A mismatch in the first position in the A-site and with antibiotic paromomycin.,http://files.rcsb.org/download/4WRA.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WRA,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WRA&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.05,105,FALSE,TRUE,TRUE
4WSD,Complex of 70S ribosome with tRNA-Phe and mRNA with C-A mismatch in the second position in the A-site and with antibiotic paromomycin.,http://files.rcsb.org/download/4WSD.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WSD,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WSD&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,2.95,106,FALSE,TRUE,TRUE
4WSM,Complex of 70S ribosome with tRNA-Leu and mRNA with G-U mismatch in the first position in the A- and P-sites,http://files.rcsb.org/download/4WSM.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WSM,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WSM&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.3,107,FALSE,TRUE,TRUE
4WT1,Complex of 70S ribosome with tRNA-Phe and mRNA with A-A mismatch in the second position in the A-site,http://files.rcsb.org/download/4WT1.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WT1,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WT1&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.05,108,FALSE,TRUE,TRUE
4WU1,Complex of 70S ribosome with tRNA-Tyr and mRNA with G-U mismatch in the second position in the P-site,http://files.rcsb.org/download/4WU1.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WU1,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WU1&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.2,109,FALSE,TRUE,TRUE
4WZD,Complex of 70S ribosome with cognate tRNA-Tyr in the P-site,http://files.rcsb.org/download/4WZD.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WZD,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WZD&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.1,110,FALSE,TRUE,TRUE
4WZO,Complex of 70S ribosome with tRNA-fMet and mRNA,http://files.rcsb.org/download/4WZO.cif.gz,(2015) Nat Commun 6 7251-7251,http://www.rcsb.org/structure/4WZO,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4WZO&compressionType=uncompressed,"Rozov, A., Demeshkina, N., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,3.3,111,FALSE,TRUE,TRUE
4Z3S,"Crystal structure of the Thermus thermophilus 70S ribosome in complex with antibiotic A201A, mRNA and three tRNAs in the A, P and E sites at 2.65A resolution",http://files.rcsb.org/download/4Z3S.cif.gz,(2015) Mol Cell 58 832-844,http://www.rcsb.org/structure/4Z3S,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4Z3S&compressionType=uncompressed,"Polikanov, Y.S., Starosta, A.L., Juette, M.F., Altman, R.B., Terry, D.S., Lu, W., Burnett, B.J., Dinos, G., Reynolds, K., Blanchard, S.C., Steitz, T.A., Wilson, D.N.",X-RAY DIFFRACTION,2.65,112,FALSE,TRUE,TRUE
4Z8C,Crystal structure of the Thermus thermophilus 70S ribosome bound to translation inhibitor oncocin,http://files.rcsb.org/download/4Z8C.cif.gz,(2015) Nat Struct Mol Biol 22 466-469,http://www.rcsb.org/structure/4Z8C,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=4Z8C&compressionType=uncompressed,"Roy, R.N., Lomakin, I.B., Gagnon, M.G., Steitz, T.A.",X-RAY DIFFRACTION,2.9,113,FALSE,TRUE,TRUE
